WT1	WT2	WT3	LSD1ko1	LSD1ko2	LSD1ko3
Slc4a3	17	9	5	48	25	12
Stk11ip	370	313	237	1222	971	1035
Farsb	459	969	443	1868	1965	1641
Acsl3	82	199	97	409	434	428
Utp14b	27	46	29	116	129	141
Ap1s3	186	314	125	879	702	1114
Mrpl44	202	240	165	557	669	617
Wdfy1	84	175	29	248	505	427
Fam124b	0	0	0	2	3	0
Cul3	398	944	335	2451	2273	2552
1700016L21Rik	0	0	2	0	4	3
Irs1	3	0	0	0	0	0
Mff	339	761	302	1218	1761	1335
Tm4sf20	1	0	0	0	0	0
Agfg1	405	557	216	1590	1461	1969
Slc19a3	0	0	0	2	1	0
Fbxo36	3	8	10	13	22	12
A530032D15Rik	117	254	96	754	757	389
Gm7609	21	53	15	71	147	60
C130026I21Rik	88	185	105	538	489	285
Sp100	940	1994	931	3740	4341	3687
Sp140	988	2124	984	4756	5466	4164
Mir8096	0	0	1	0	0	0
Cab39	384	628	317	2257	2008	2305
9930111H07Rik	0	0	0	0	0	3
4933407L21Rik	0	1	0	3	3	3
Gpr55	21	14	12	139	210	211
Itm2c	294	435	440	814	1409	1547
Htr2b	1	1	0	8	7	4
Gm24148	0	1	0	4	0	0
Snora75	0	3	0	2	0	1
Ncl	2640	6044	2325	18666	15102	12463
B3gnt7	11	11	22	59	31	44
C130036L24Rik	8	10	5	21	33	25
Cops7b	187	205	138	512	631	543
Pde6d	175	237	158	367	591	456
Ptma	3967	7781	3523	13778	18858	16968
Eif4e2	529	705	456	1492	1935	1569
Kcnj13	0	0	0	2	0	1
Atg16l1	121	162	102	534	534	424
Scarna6	0	0	0	2	0	0
Dgkd	1629	1723	1134	4402	5116	5109
Gm19582	0	1	0	2	5	3
Dnajb3	0	0	1	0	0	0
Hjurp	89	106	46	269	167	199
Mroh2a	3	8	2	16	12	9
Glrp1	0	0	0	0	1	0
Arl4c	7	14	7	9	7	67
Gbx2	0	0	0	0	0	1
Ackr3	1	1	0	5	1	0
Cops8	326	336	273	952	1017	958
Mlph	6	1	0	0	2	1
Ramp1	0	1	0	5	1	0
Rbm44	13	50	14	88	70	75
Ube2f	165	200	103	450	465	402
Scly	185	175	162	550	513	452
Hes6	483	419	395	1080	1279	831
Erfe	3	8	5	9	6	19
Per2	24	27	14	142	57	76
Ilkap	492	537	410	1231	1617	1149
1700020N18Rik	4	6	2	19	10	8
Traf3ip1	49	37	27	142	130	161
Asb1	117	97	46	342	410	404
Ndufa10	687	909	690	1738	2456	1994
Cops9	259	662	391	616	1141	677
Otos	0	0	0	0	1	0
Gpc1	5	5	2	27	4	8
Rnpepl1	415	301	230	915	688	922
Ankmy1	1	2	0	3	17	5
5033417F24Rik	1	1	0	7	0	1
Dusp28	30	32	38	91	104	68
Gpr35	4	16	15	7	9	117
Capn10	74	83	76	208	233	207
9430060I03Rik	0	0	2	0	4	1
Mterf4	79	122	62	244	319	257
Sned1	1	5	2	4	0	39
Ano7	0	1	0	9	5	6
Ppp1r7	251	521	214	1122	1058	1048
Sept2	345	1018	353	1857	2019	2137
Bok	0	0	0	0	1	0
Stk25	239	284	188	760	738	599
Dtymk	506	713	494	1377	1833	1201
Ing5	167	217	132	484	547	545
Atg4b	358	393	332	686	935	824
Gm9994	0	0	0	0	1	0
Gal3st2	0	0	0	0	0	3
Pdcd1	6	5	8	24	64	65
Fam174a	52	60	27	163	210	275
St8sia4	100	587	174	1195	1005	1066
Panct2	0	0	0	5	0	0
Ppip5k2	106	303	140	1003	753	896
1810006J02Rik	0	0	0	0	1	1
Rnf152	0	0	0	2	0	0
2310035C23Rik	79	161	50	546	439	511
Tnfrsf11a	0	4	5	3	1	48
Zcchc2	169	207	85	574	548	647
Vps4b	210	458	170	1214	1080	1217
Kdsr	27	45	16	115	85	109
Serpinb5	0	0	0	0	1	0
Serpinb7	0	4	2	19	6	9
Serpinb8	1	2	2	2	1	4
Serpinb2	0	4	0	4	0	0
Serpinb10	0	4	0	0	0	0
Dsel	2	2	0	7	1	9
Nifk	221	516	207	1265	1290	953
Tsn	515	789	414	1755	2147	2223
2900060B14Rik	0	2	0	8	4	0
Tfcp2l1	3	1	1	12	4	2
Tmem185b	69	84	53	207	208	266
Ralb	109	124	70	285	390	301
Epb41l5	23	24	6	58	61	69
Tmem177	37	56	38	158	141	164
3110009E18Rik	20	47	33	97	125	75
Tmem37	1	17	17	1	4	49
Dbi	544	1020	493	2237	3061	1775
Steap3	4	11	9	10	7	20
C1ql2	0	0	0	2	0	0
Marco	17	30	33	6	18	221
En1	0	0	0	0	0	2
Insig2	98	143	67	354	395	380
Ddx18	221	316	173	915	850	756
Actr3	2786	7286	2852	10570	13389	12485
Acmsd	0	1	1	0	0	0
Map3k19	13	19	13	110	81	74
Ubxn4	264	525	241	1322	1211	1218
Dars	551	1790	610	2679	3137	2555
Mcm6	3567	4653	2724	10624	12717	10715
Cxcr4	1241	1165	847	3221	3710	2894
Cd55	35	94	37	612	309	227
C4bp	1	0	0	0	0	0
Yod1	9	27	13	109	53	101
Pfkfb2	13	37	13	131	84	148
AA986860	2	1	1	8	6	5
Fcmr	1646	1593	1416	4802	5975	5807
Pigr	4	11	10	15	28	31
Il24	2	1	0	5	4	5
Il19	0	0	0	3	1	0
Il10	2	7	4	80	29	20
Eif2d	495	647	547	1137	2075	1705
Dyrk3	60	81	43	160	328	247
Ikbke	22	22	11	155	56	137
Fam72a	127	203	103	409	555	449
Rab7b	0	1	4	12	2	9
Ctse	133	148	113	591	464	437
Avpr1b	1	0	0	0	0	0
Slc26a9	0	0	0	5	2	0
Slc41a1	260	215	125	1185	461	770
Pm20d1	0	4	5	17	9	16
Slc45a3	17	67	103	18	33	462
Nucks1	832	1710	637	3688	3182	4326
Rab29	55	90	60	294	452	461
Elk4	62	91	54	356	264	348
Mfsd4a	35	20	17	133	91	100
Klhdc8a	2	0	0	0	0	0
Nuak2	85	100	70	303	380	274
Tmem81	33	29	16	102	87	88
Dstyk	7	10	1	34	20	41
Rbbp5	297	380	199	872	1094	1092
Mdm4	364	969	345	2866	1828	2163
Ppp1r15b	931	926	497	2846	2745	3201
Pik3c2b	753	774	367	2732	1741	2476
Etnk2	1	0	0	1	0	0
Golt1a	1	0	0	0	0	0
Sox13	0	0	0	2	0	0
Zbed6	73	151	61	678	343	490
Zc3h11a	432	756	364	2394	1722	1994
Snrpe	617	2000	844	1824	3106	2208
